,,,,,,,,,,,,
,,,,OFANSİF PERFORMANS,,,,DEFANSİF PERFORMANS,,,,
,#,A GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,İSPANYA,8,17.80,17.80,25,47.70,4.40,5,34.40,29.66,0
,2,İSKOÇYA,8,8.90,8.11,17,43.30,8.80,8,43.30,39.35,1
,3,NORVEÇ,8,13.10,11.52,14,46.00,6.10,12,39.10,35.94,2
,4,GÜRCİSTAN,8,8.10,6.52,12,38.50,13.60,18,44.10,40.94,2
,5,KIBRIS CUMHURİYETİ,8,4.30,3.51,3,32.90,19.20,28,47.90,43.95,1
,#,B GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,FRANSA,8,20.10,17.73,29,55.30,4.10,3,39.30,34.56,3
,2,HOLLANDA,8,16.10,12.94,17,55.10,4.30,7,43.30,39.35,4
,3,YUNANİSTAN,8,10.40,9.61,14,50.30,9.10,8,49.00,42.68,1
,4,İRLANDA,8,12.50,11.71,9,50.30,9.10,10,46.90,40.58,1
,5,CEBELİTARIK,8,0.30,0.30,0,26.60,32.80,41,59.10,51.99,0
,#,C GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,İNGİLTERE,8,16.70,12.75,22,47.30,5.20,4,35.80,31.06,5
,2,İTALYA,8,15.20,14.41,16,45.00,7.50,9,37.30,29.40,1
,3,UKRAYNA,8,10.50,8.13,11,41.20,11.30,8,42.00,35.68,3
,4,KUZEY MAKEDONYA,8,7.20,5.62,10,39.10,13.40,20,45.30,38.19,2
,5,MALTA,8,2.90,2.90,2,37.40,15.10,20,49.60,40.91,0
,#,D GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,TÜRKİYE,8,14.30,12.72,14,47.50,8.70,7,41.90,40.32,2
,2,HIRVATİSTAN,8,16.90,16.90,13,49.80,6.40,4,39.30,36.14,0
,3,GALLER,8,9.40,8.61,10,45.70,10.50,10,46.80,44.43,1
,4,ERMENİSTAN,8,7.70,6.91,9,43.40,12.80,11,48.50,46.13,1
,5,LETONYA,8,7.90,7.90,5,38.40,17.80,19,48.30,45.14,0
,#,E GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,ARNAVUTLUK,8,7.00,5.42,12,34.60,6.30,4,33.80,31.43,2
,2,ÇEKYA,8,13.20,12.41,12,35.80,5.10,6,27.60,24.44,1
,3,POLONYA,8,12.10,11.31,10,36.10,4.80,10,28.70,25.54,1
,4,MOLDOVA,8,5.90,5.11,7,30.30,10.60,10,34.90,31.74,1
,5,FAROE ADALARI,8,2.60,2.60,2,26.80,14.10,13,38.20,34.25,0
,#,F GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,BELÇİKA,8,12.50,11.71,22,47.20,5.70,4,40.30,36.35,1
,2,AVUSTURYA,8,16.10,12.94,17,46.10,6.80,7,36.70,35.12,4
,3,İSVEÇ,8,13.60,13.60,14,43.70,9.20,12,39.20,34.46,0
,4,AZERBAYCAN,8,6.20,5.41,7,38.50,14.40,17,46.60,42.65,1
,5,ESTONYA,8,4.40,4.40,2,36.10,16.80,22,48.40,43.66,0
,#,G GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,MACARİSTAN,8,14.20,13.41,16,41.20,8.50,7,35.50,33.92,1
,2,SIRBİSTAN,8,12.50,12.50,15,43.90,5.80,9,37.20,34.83,0
,3,KARADAĞ,8,8.40,8.40,9,39.90,9.80,11,41.30,38.93,0
,4,LİTVANYA,8,5.50,5.50,8,35.60,14.10,14,44.20,41.83,0
,5,BULGARİSTAN,8,9.10,7.52,7,38.20,11.50,14,40.60,39.81,2
,#,H GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,DANİMARKA,10,17.30,17.30,19,62.90,5.50,10,51.00,44.68,0
,2,SLOVENYA,10,13.50,11.92,20,59.60,8.80,9,54.80,50.06,2
,3,FİNLANDİYA,10,13.80,13.01,18,58.10,10.30,10,54.50,48.97,1
,4,KAZAKİSTAN,10,10.30,7.14,16,56.80,11.60,12,58.00,54.84,4
,5,KUZEY İRLANDA,10,11.20,11.20,9,58.30,10.10,13,57.10,50.78,0
,6,SAN MARİNO,10,2.20,1.41,3,46.30,22.10,31,66.10,60.57,1
,#,I GRUBU,MS,xG,"xG
(No Penalty)",AG,Rakip xGA,xGA,YG,Rakip xG,"Rakip xG
(No Penalty)",Penaltı
,1,ROMANYA,10,13.20,11.62,16,61.40,9.30,5,57.50,55.13,2
,2,İSVİÇRE,10,23.60,22.81,22,64.40,6.30,11,47.10,43.94,1
,3,İSRAİL,10,12.50,11.71,11,58.90,11.80,11,58.20,55.04,1
